section,kind,key,mode,count,pct_of_mode_basis,mode_basis
llm_subset_coverage,scope,obtain_or_produce,n/a,3830,100.00%,obtain_or_produce=3830
llm_subset_coverage,scope,expanded_subset_size,n/a,1657,43.26%,obtain_or_produce=3830
created_at_by_year,year,2021,self_quantized,11,0.69%,self_quantized_subset=1603
created_at_by_year,year,2022,self_quantized,18,1.12%,self_quantized_subset=1603
created_at_by_year,year,2023,self_quantized,246,15.35%,self_quantized_subset=1603
created_at_by_year,year,2024,self_quantized,328,20.46%,self_quantized_subset=1603
created_at_by_year,year,2025,self_quantized,478,29.82%,self_quantized_subset=1603
created_at_by_year,year,2026,self_quantized,487,30.38%,self_quantized_subset=1603
created_at_by_year,year,other_year,self_quantized,35,2.18%,self_quantized_subset=1603
created_at_by_year,year,2021,ollama_obtains_model,0,0.00%,ollama_obtains_model_subset=54
created_at_by_year,year,2022,ollama_obtains_model,0,0.00%,ollama_obtains_model_subset=54
created_at_by_year,year,2023,ollama_obtains_model,1,1.85%,ollama_obtains_model_subset=54
created_at_by_year,year,2024,ollama_obtains_model,17,31.48%,ollama_obtains_model_subset=54
created_at_by_year,year,2025,ollama_obtains_model,21,38.89%,ollama_obtains_model_subset=54
created_at_by_year,year,2026,ollama_obtains_model,14,25.93%,ollama_obtains_model_subset=54
created_at_by_year,year,other_year,ollama_obtains_model,1,1.85%,ollama_obtains_model_subset=54
pushed_at_recency,bucket,active_last_6mo,self_quantized,800,49.91%,self_quantized_subset=1603
pushed_at_recency,bucket,active_last_12mo,self_quantized,208,12.98%,self_quantized_subset=1603
pushed_at_recency,bucket,older_than_12mo,self_quantized,595,37.12%,self_quantized_subset=1603
pushed_at_recency,bucket,unknown,self_quantized,0,0.00%,self_quantized_subset=1603
pushed_at_recency,bucket,active_last_6mo,ollama_obtains_model,23,42.59%,ollama_obtains_model_subset=54
pushed_at_recency,bucket,active_last_12mo,ollama_obtains_model,9,16.67%,ollama_obtains_model_subset=54
pushed_at_recency,bucket,older_than_12mo,ollama_obtains_model,22,40.74%,ollama_obtains_model_subset=54
pushed_at_recency,bucket,unknown,ollama_obtains_model,0,0.00%,ollama_obtains_model_subset=54
