view,rank,method_family,n_repos,in_LLM_stack,in_EXPANDED,n_self_quant_basis,n_likely_LLM_self_quant,pct_likely_LLM
A_full_ecosystem,1,GPTQ,677,True,True,677,661,97.64%
A_full_ecosystem,2,ONNXRuntime,651,False,False,651,197,30.26%
A_full_ecosystem,3,llama.cpp/GGUF-convert,513,True,True,513,459,89.47%
A_full_ecosystem,4,torchao,360,False,False,360,149,41.39%
A_full_ecosystem,5,other,289,False,False,289,120,41.52%
A_full_ecosystem,6,AWQ,243,True,True,243,240,98.77%
A_full_ecosystem,7,OpenVINO/NNCF,209,False,False,209,42,20.10%
A_full_ecosystem,8,quanto,128,False,False,128,42,32.81%
A_full_ecosystem,9,Intel-NC,94,False,False,94,35,37.23%
A_full_ecosystem,10,SmoothQuant,77,False,True,77,62,80.52%
A_full_ecosystem,11,ExLlamaV2,74,True,True,74,74,100.00%
A_full_ecosystem,12,compressed-tensors,72,True,True,72,54,75.00%
A_full_ecosystem,13,AMD-Quark,70,False,True,70,63,90.00%
B_llm_subset,1,GPTQ,677,True,True,677,661,97.64%
B_llm_subset,2,llama.cpp/GGUF-convert,513,True,True,513,459,89.47%
B_llm_subset,3,AWQ,243,True,True,243,240,98.77%
B_llm_subset,4,SmoothQuant,77,False,True,77,62,80.52%
B_llm_subset,5,ExLlamaV2,74,True,True,74,74,100.00%
B_llm_subset,6,compressed-tensors,72,True,True,72,54,75.00%
B_llm_subset,7,AMD-Quark,70,False,True,70,63,90.00%
