year,GGUF,BitsAndBytes,GPTQ,AWQ,Other
2009,0.0,0.0,0.0,0.0,1.0
2010,1.0,0.0,0.0,0.0,0.0
2012,0.5,0.0,0.0,0.0,0.5
2013,0.5714,0.0,0.0,0.0,0.4286
2014,0.5385,0.3077,0.0,0.0769,0.0769
2015,0.5909,0.2727,0.0,0.0455,0.0909
2016,0.7917,0.1667,0.0,0.0,0.0417
2017,0.4643,0.1786,0.1429,0.1429,0.0714
2018,0.5526,0.2105,0.0789,0.0263,0.1316
2019,0.4815,0.3333,0.0185,0.0556,0.1111
2020,0.41,0.32,0.07,0.04,0.16
2021,0.4651,0.2016,0.1628,0.062,0.1085
2022,0.3714,0.2204,0.0612,0.0367,0.3102
2023,0.316,0.12,0.2705,0.0759,0.2175
2024,0.3987,0.2092,0.1576,0.0898,0.1448
2025,0.4379,0.204,0.105,0.0738,0.1793
2026,0.5822,0.122,0.0527,0.0538,0.1894
