repo_id,stratum,primary_method,method_bucket,created_at_year,created_at_date,n_referenced_models,stars
AtakanTekparmak/klippa-presentation,GGUF,GGUF,GGUF,2024,2024-09-23T09:09:36Z,1,0
AvianHan/SC6109,GGUF,GGUF,GGUF,2025,2025-04-16T09:06:56Z,1,1
Bestine/RAG-course,GGUF,GGUF,GGUF,2025,2025-04-28T08:44:56Z,1,0
Boring206/boring-gemini,GGUF,GGUF,GGUF,2026,2026-01-01T07:26:03Z,2,5
JaneMichaella/mem0-f1-high,GGUF,GGUF,GGUF,2025,2025-12-18T15:06:40Z,1,0
K-Saaan/llm_project,GGUF,GGUF,GGUF,2024,2024-05-26T08:47:00Z,2,0
LetsDebias/GenderBiasAnalyzer,GGUF,GGUF,GGUF,2024,2024-11-10T07:59:44Z,1,0
MarcoLillx/KG-LLM-NLP-project,GGUF,GGUF,GGUF,2026,2026-01-06T22:55:00Z,1,1
ProcStack/branchShredder,GGUF,GGUF,GGUF,2026,2026-03-09T13:06:54Z,6,0
adcwa/open-webui,GGUF,GGUF,GGUF,2024,2024-12-08T10:03:06Z,1,0
anthonykimani/plugin-sargo,GGUF,GGUF,GGUF,2025,2025-05-02T13:51:45Z,1,0
arnyigor/ollamaagent,GGUF,GGUF,GGUF,2025,2025-03-19T08:41:41Z,3,1
barnehcodes/CyberDOM,GGUF,GGUF,GGUF,2025,2025-10-13T15:35:00Z,1,0
calcuis/gguf-core,GGUF,GGUF,GGUF,2024,2024-02-08T18:17:08Z,1,5
distil-labs/distil-ai-slop-detector,GGUF,GGUF,GGUF,2026,2026-01-25T16:59:30Z,1,67
nm-le/sltm,GGUF,GGUF,GGUF,2026,2026-03-17T15:20:24Z,56,0
nrl-ai/llama-assistant,GGUF,GGUF,GGUF,2024,2024-09-26T17:37:24Z,11,530
thisisAranya/neural-stream-fusion-engine-phase-1,GGUF,GGUF,GGUF,2025,2025-05-29T11:42:17Z,1,0
zeropsykh/mindpal-webserver,GGUF,GGUF,GGUF,2025,2025-02-23T18:52:46Z,1,0
zhangzheyuanviolin-ship-it/anyclaw-android-assistant-evolution,GGUF,GGUF,GGUF,2026,2026-02-28T02:35:32Z,1,12
2betforyou/GraphRAG,BitsAndBytes,BitsAndBytes,BitsAndBytes,2025,2025-11-18T03:15:33Z,1,1
Dinuk-Di/Llama3-FineTune,BitsAndBytes,BitsAndBytes,BitsAndBytes,2024,2024-04-30T11:44:11Z,3,0
ElviiAi/useful-llm-notebooks,BitsAndBytes,BitsAndBytes,BitsAndBytes,2025,2025-02-13T09:21:49Z,3,0
JSJeong-me/AI-Innovation-2024,BitsAndBytes,BitsAndBytes,BitsAndBytes,2024,2024-08-26T07:25:44Z,4,1
Jaxy205/TriTueNhanTao,BitsAndBytes,BitsAndBytes,BitsAndBytes,2025,2025-11-25T12:02:01Z,11,0
MeRichard123/MIMICBench,BitsAndBytes,BitsAndBytes,BitsAndBytes,2025,2025-10-26T18:47:12Z,1,0
MixNatchapol/superai_s5_thaicaption,BitsAndBytes,BitsAndBytes,BitsAndBytes,2025,2025-02-03T14:59:36Z,10,0
ReLuckyLucy/Unsloth_Ollama,BitsAndBytes,BitsAndBytes,BitsAndBytes,2024,2024-05-04T18:27:16Z,2,17
Realmbird/Recreation-Consitutional-AI,BitsAndBytes,BitsAndBytes,BitsAndBytes,2025,2025-07-14T20:45:22Z,3,1
TheDarknessBeneath/data-vrgbx,BitsAndBytes,BitsAndBytes,BitsAndBytes,2026,2026-01-19T01:49:38Z,1,0
TienDoan274/CS112.O11,BitsAndBytes,BitsAndBytes,BitsAndBytes,2023,2023-12-04T14:24:00Z,2,0
ashishakkumar/neurosymbolic_ai,BitsAndBytes,BitsAndBytes,BitsAndBytes,2025,2025-04-26T17:00:10Z,8,0
bostdiek/PantryPilot,BitsAndBytes,BitsAndBytes,BitsAndBytes,2025,2025-07-26T15:07:55Z,6,0
itsqyh/Shallow-Focus-Deep-Fixes,BitsAndBytes,BitsAndBytes,BitsAndBytes,2025,2025-08-25T07:53:03Z,1,14
mudler/dockerfiles,BitsAndBytes,BitsAndBytes,BitsAndBytes,2015,2015-12-07T15:41:18Z,4,6
puwaer/test_code_translation,BitsAndBytes,BitsAndBytes,BitsAndBytes,2025,2025-03-25T02:02:02Z,5,0
r-yabyab/Finetune-codegeneration-POC,BitsAndBytes,BitsAndBytes,BitsAndBytes,2025,2025-07-18T17:25:22Z,9,0
script-repo/vibe,BitsAndBytes,BitsAndBytes,BitsAndBytes,2025,2025-07-29T15:12:34Z,1,0
seyi-main/genai-all-en-tags,BitsAndBytes,BitsAndBytes,BitsAndBytes,2024,2024-07-17T17:58:43Z,5,0
tqhb2502/PARADIS-final_project,BitsAndBytes,BitsAndBytes,BitsAndBytes,2025,2025-06-19T11:40:02Z,1,0
Coco58323/AutoGPTQ_FPe2m2,GPTQ,GPTQ,GPTQ,2024,2024-11-21T08:53:20Z,7,0
FrontierX-Lab/GeoBench,GPTQ,GPTQ,GPTQ,2025,2025-12-30T07:51:59Z,5,9
Green-Halo/Quantized-LLaMA,GPTQ,GPTQ,GPTQ,2024,2024-11-04T11:26:17Z,9,0
Irus-ls/GaLorePlus,GPTQ,GPTQ,GPTQ,2025,2025-01-08T13:29:04Z,20,3
Lintianqianjin/LangGFM,GPTQ,GPTQ,GPTQ,2024,2024-11-11T20:40:33Z,73,8
Santiago-R/aprende,GPTQ,GPTQ,GPTQ,2023,2023-04-22T17:50:57Z,3,0
absadiki/askcode,GPTQ,GPTQ,GPTQ,2023,2023-09-26T08:31:39Z,1,7
authurlord/MELD,GPTQ,GPTQ,GPTQ,2024,2024-06-18T12:54:35Z,73,3
dmitrymailk/verbalist,GPTQ,GPTQ,GPTQ,2023,2023-08-12T20:55:12Z,1,3
fangyuan-ksgk/FTchatter,GPTQ,GPTQ,GPTQ,2024,2024-06-25T08:42:08Z,4,1
fhswf/Slim,GPTQ,GPTQ,GPTQ,2024,2024-05-28T14:36:57Z,4,0
gyhdog99/MoCLE,GPTQ,GPTQ,GPTQ,2024,2024-02-05T13:16:35Z,2,46
hakemz91/WSLLocalGPT,GPTQ,GPTQ,GPTQ,2023,2023-11-13T15:04:38Z,16,0
madhav2k/LocalLLM,GPTQ,GPTQ,GPTQ,2023,2023-08-01T20:13:55Z,6,1
rqin-2027/LocalGPT,GPTQ,GPTQ,GPTQ,2024,2024-12-01T01:34:35Z,18,0
shamonhashmi/poc_localgpt,GPTQ,GPTQ,GPTQ,2023,2023-12-13T21:22:15Z,17,0
tallesairan/GPTQAutoloader,GPTQ,GPTQ,GPTQ,2023,2023-07-31T19:14:55Z,1,0
vishnupen/GPT,GPTQ,GPTQ,GPTQ,2023,2023-12-05T06:01:22Z,18,0
wuzhenhe/Table-R1,GPTQ,GPTQ,GPTQ,2025,2025-06-05T01:53:38Z,5,5
yachty66/demo-wizardlm-1.0-uncensored-codellama-34b-gptq,GPTQ,GPTQ,GPTQ,2023,2023-09-06T16:06:51Z,1,2
BIOIN-401-Project-8/paper-qa-chatbot,AWQ,AWQ,AWQ,2024,2024-02-04T23:59:04Z,1,0
DobbiKov/translate-dir-lib,AWQ,AWQ,AWQ,2026,2026-05-06T17:40:42Z,1,0
GiftAngel/chatbox,AWQ,AWQ,AWQ,2024,2024-01-16T21:57:11Z,1,0
MagicUnicornInc/KognitiveKompanion,AWQ,AWQ,AWQ,2025,2025-03-24T04:17:23Z,10,0
Rayan-Leveque/Bias,AWQ,AWQ,AWQ,2026,2026-01-14T09:45:44Z,3,0
SciEval/SciEvalKit,AWQ,AWQ,AWQ,2025,2025-10-15T09:34:40Z,8,4
Shreya-Jayaraj/PROJECT-HUB-LANGCHAIN,AWQ,AWQ,AWQ,2023,2023-11-21T17:38:23Z,1,0
VectorSpaceLab/OmniGen2,AWQ,AWQ,AWQ,2025,2025-06-06T08:09:44Z,1,4079
Yaliang-Cai/RAG_LUND,AWQ,AWQ,AWQ,2026,2026-02-24T09:04:01Z,3,0
Znull-1220/SocialAlign,AWQ,AWQ,AWQ,2025,2025-01-21T12:03:05Z,3,8
calhounpaul/ast-llm-code-analysis,AWQ,AWQ,AWQ,2024,2024-11-21T22:46:01Z,2,5
chansongoal/LaMoFC,AWQ,AWQ,AWQ,2024,2024-11-14T13:21:36Z,15,32
chunyj/codeSum,AWQ,AWQ,AWQ,2025,2025-01-17T00:13:47Z,1,0
crothmeier/T4DailyDriver,AWQ,AWQ,AWQ,2025,2025-08-17T21:21:15Z,1,0
hasanar1f/PAINT,AWQ,AWQ,AWQ,2024,2024-10-01T16:31:56Z,12,11
saeedabc/chartqa_visual_rag,AWQ,AWQ,AWQ,2025,2025-09-27T19:13:33Z,1,3
sj-1911/Sports-Analytics-Bot,AWQ,AWQ,AWQ,2025,2025-05-15T21:18:25Z,3,0
sqbitegh/Colabs,AWQ,AWQ,AWQ,2024,2024-10-25T21:28:50Z,1,0
tarabukinivan/tourn21-text-c-9dc0d80,AWQ,AWQ,AWQ,2025,2025-08-06T13:22:05Z,1,0
touridev/ai-haystack,AWQ,AWQ,AWQ,2025,2025-09-14T12:29:09Z,1,2
CivicPatch/civicpatch-tools,Other,CompressedTensors,Other,2025,2025-03-21T16:57:53Z,1,1
KiNGsleysuLlivaN803772/Lgfn2UgqzY,Other,EXL2,Other,2025,2025-03-07T16:26:05Z,1,0
LUXYG/newApi-yg,Other,CompressedTensors,Other,2026,2026-03-02T12:14:00Z,2,1
Nyagisera/Extractor,Other,INT8,Other,2024,2024-10-13T20:34:38Z,1,0
RHrZ1aixj/QYqnScKoY,Other,EXL2,Other,2024,2024-11-18T22:40:04Z,1,0
SemiAnalysisAI/InferenceX-app,Other,FP8,Other,2026,2026-03-11T00:31:42Z,4,28
XLabs-AI/x-flux,Other,FP8,Other,2024,2024-08-05T15:07:27Z,1,2236
aphrodite-engine/aphrodite-engine,Other,CompressedTensors,Other,2023,2023-06-23T02:34:29Z,138,1738
dieterich-lab/LLM_NER_PII_EVAL,Other,FP8,Other,2025,2025-08-12T14:06:13Z,1,0
hjzccc/trtllm,Other,FP8,Other,2026,2026-02-09T21:06:10Z,25,0
jahidulzaid/national-datathon,Other,FP8,Other,2025,2025-11-30T19:40:57Z,1,0
lileilai/LlamaFasterTransformer,Other,INT8,Other,2023,2023-05-24T09:22:29Z,1,2
mastra-ai/mastra,Other,FP8,Other,2024,2024-08-06T20:44:31Z,31,24215
meephubub/flashcards-api,Other,FP8,Other,2025,2025-06-19T18:37:35Z,1,1
microsoft/tokenweave,Other,CompressedTensors,Other,2025,2025-05-30T23:01:31Z,102,83
opendatahub-io/opendatahub-tests,Other,CompressedTensors,Other,2024,2024-09-26T14:07:34Z,5,6
oremaz/conversational_ai_agent,Other,FP8,Other,2025,2025-06-16T22:52:56Z,6,0
rhway666/smooth-quant_exp,Other,SmoothQuant,Other,2024,2024-12-28T11:53:18Z,1,0
shubham93096/streamlit_application,Other,INT8,Other,2025,2025-04-10T08:16:09Z,1,1
weiber2002/ACA_final,Other,FP8,Other,2025,2025-05-17T12:50:59Z,5,1
